F872  70 01
F874  60
D0C2  C8
D0C3  20 78 F8
F878  38
F879  B8
F87A  A9 7F
F87C  60
D0C6  61 80
D0C8  20 7D F8
F87D  D0 07
F87F  30 05
F881  70 03
F883  90 01
F885  60
D0CB  C8
D0CC  A9 40
D0CE  8D 00 02
D0D1  20 89 F8
F889  24 01
F88B  A9 40
F88D  60
D0D4  C1 80
D0D6  20 8E F8
F88E  30 07
F890  90 05
F892  D0 03
F894  50 01
F896  60
D0D9  C8
D0DA  48
D0DB  A9 3F
D0DD  8D 00 02
D0E0  68
D0E1  20 9A F8
F89A  B8
F89B  60
D0E4  C1 80
D0E6  20 9C F8
F89C  F0 07
F89E  30 05
F8A0  90 03
F8A2  70 01
F8A4  60
D0E9  C8
D0EA  48
D0EB  A9 41
D0ED  8D 00 02
D0F0  68
D0F1  C1 80
D0F3  20 A8 F8
F8A8  F0 05
F8AA  10 03
F8AC  10 01
F8AE  60
D0F6  C8
D0F7  48
D0F8  A9 00
D0FA  8D 00 02
D0FD  68
D0FE  20 B2 F8
F8B2  A9 80
F8B4  60
D101  C1 80
D103  20 B5 F8
F8B5  F0 05
F8B7  10 03
F8B9  90 01
F8BB  60
D106  C8
D107  48
D108  A9 80
D10A  8D 00 02
D10D  68
D10E  C1 80
D110  20 BF F8
F8BF  D0 05
F8C1  30 03
F8C3  90 01
F8C5  60
D113  C8
D114  48
D115  A9 81
D117  8D 00 02
D11A  68
D11B  C1 80
D11D  20 C9 F8
F8C9  B0 05
F8CB  F0 03
F8CD  10 01
F8CF  60
D120  C8
D121  48
D122  A9 7F
D124  8D 00 02
D127  68
D128  C1 80
D12A  20 D3 F8
F8D3  90 05
F8D5  F0 03
F8D7  30 01
F8D9  60
D12D  C8
D12E  A9 40
D130  8D 00 02
D133  20 31 F9
F931  24 01
F933  A9 40
F935  38
F936  60
D136  E1 80
D138  20 37 F9
F937  30 0B
F939  90 09
F93B  D0 07
F93D  70 05
F93F  C9 00
F941  D0 01
F943  60
D13B  C8
D13C  A9 3F
D13E  8D 00 02
D141  20 47 F9
F947  B8
F948  38
F949  A9 40
F94B  60
D144  E1 80
D146  20 4C F9
F94C  F0 0B
F94E  30 09
F950  90 07
F952  70 05
F954  C9 01
F956  D0 01
F958  60
D149  C8
D14A  A9 41
D14C  8D 00 02
D14F  20 5C F9
F95C  A9 40
F95E  38
F95F  24 01
F961  60
D152  E1 80
D154  20 62 F9
F962  B0 0B
F964  F0 09
F966  10 07
F968  70 05
F96A  C9 FF
F96C  D0 01
F96E  60
D157  C8
D158  A9 00
D15A  8D 00 02
D15D  20 72 F9
F972  18
F973  A9 80
F975  60
D160  E1 80
D162  20 76 F9
F976  90 05
F978  C9 7F
F97A  D0 01
F97C  60
D165  C8
D166  A9 7F
D168  8D 00 02
D16B  20 80 F9
F980  38
F981  A9 81
F983  60
D16E  E1 80
D170  20 84 F9
F984  50 07
F986  90 05
F988  C9 02
F98A  D0 01
F98C  60
D173  60
C612  20 74 D1
D174  A9 55
D176  85 78
D178  A9 FF
D17A  85 01
D17C  24 01
D17E  A0 11
D180  A2 23
D182  A9 00
D184  A5 78
D186  F0 10
D188  30 0E
D18A  C9 55
D18C  D0 0A
D18E  C0 11
D190  D0 06
D192  E0 23
D194  50 02
D196  F0 04
D19C  A9 46
D19E  24 01
D1A0  85 78
D1A2  F0 0A
D1A4  10 08
D1A6  50 06
D1A8  A5 78
D1AA  C9 46
D1AC  F0 04
D1B2  A9 55
D1B4  85 78
D1B6  24 01
D1B8  A9 11
D1BA  A2 23
D1BC  A0 00
D1BE  A4 78
D1C0  F0 10
D1C2  30 0E
D1C4  C0 55
D1C6  D0 0A
D1C8  C9 11
D1CA  D0 06
D1CC  E0 23
D1CE  50 02
D1D0  F0 04
D1D6  A0 46
D1D8  24 01
D1DA  84 78
D1DC  F0 0A
D1DE  10 08
D1E0  50 06
D1E2  A4 78
D1E4  C0 46
D1E6  F0 04
D1EC  24 01
D1EE  A9 55
D1F0  85 78
D1F2  A0 11
D1F4  A9 23
D1F6  A2 00
D1F8  A6 78
D1FA  F0 10
D1FC  30 0E
D1FE  E0 55
D200  D0 0A
D202  C0 11
D204  D0 06
D206  C9 23
D208  50 02
D20A  F0 04
D210  A2 46
D212  24 01
D214  86 78
D216  F0 0A
D218  10 08
D21A  50 06
D21C  A6 78
D21E  E0 46
D220  F0 04
D226  A9 C0
D228  85 78
D22A  A2 33
D22C  A0 88
D22E  A9 05
D230  24 78
D232  10 10
D234  50 0E
D236  D0 0C
D238  C9 05
D23A  D0 08
D23C  E0 33
D23E  D0 04
D240  C0 88
D242  F0 04
D248  A9 03
D24A  85 78
D24C  A9 01
D24E  24 78
D250  30 08
D252  70 06
D254  F0 04
D256  C9 01
D258  F0 04
D25E  A0 7E
D260  A9 AA
D262  85 78
D264  20 B6 F7
F7B6  18
F7B7  A9 FF
F7B9  85 01
F7BB  24 01
F7BD  A9 55
F7BF  60
D267  05 78
D269  20 C0 F7
F7C0  B0 09
F7C2  10 07
F7C4  C9 FF
F7C6  D0 03
F7C8  50 01
F7CA  60
D26C  C8
D26D  A9 00
D26F  85 78
D271  20 CE F7
F7CE  38
F7CF  B8
F7D0  A9 00
